user_id,user_name,persona_title,scenario_key,program_slug,program_name,program_category,jurisdiction_level,jurisdiction_code,eligibility_status,decision_certainty,matched_reasons,failed_reasons,missing_facts
syn-001,Synthetic User 001,Recently unemployed renter,unemployed_renter,social-security-disability-insurance-for-child,Social Security disability insurance for child,disability,federal,federal,possibly_eligible,62,,The applicant is under 18 years,Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you the child or spouse of a person who is receiving retirement or disability benefits?
syn-001,Synthetic User 001,Recently unemployed renter,unemployed_renter,social-security-disability-insurance-for-parents,Social Security disability insurance for parents,disability,federal,federal,possibly_eligible,54,,,"Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you caring for the child of someone who is retired, has a disability, or has died?"
syn-001,Synthetic User 001,Recently unemployed renter,unemployed_renter,social-security-disability-insurance-for-spouse,Social Security disability insurance for spouse,disability,federal,federal,possibly_eligible,62,,The applicant is at least 62 years,Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you the child or spouse of a person who is receiving retirement or disability benefits?
syn-001,Synthetic User 001,Recently unemployed renter,unemployed_renter,retirement-benefits-for-spouse,Retirement benefits for spouse,retirement,federal,federal,possibly_eligible,62,,The applicant is at least 62 years,Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you the child or spouse of a person who is receiving retirement or disability benefits?
syn-001,Synthetic User 001,Recently unemployed renter,unemployed_renter,retirement-benefits-for-child-with-disabilities,Retirement benefits for child with disabilities,retirement,federal,federal,possibly_eligible,70,,The applicant is under 18 years; The applicant has a disability or impairment; The applicant is unable to work for a year or more because of a disability,Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you the child or spouse of a person who is receiving retirement or disability benefits?
syn-001,Synthetic User 001,Recently unemployed renter,unemployed_renter,extra-help-with-medicare-prescription-drug-plan-part-d-costs,Extra help with Medicare prescription drug plan (Part D) costs,health,federal,federal,possibly_eligible,88,The applicant has limited income and resources,The applicant is at least 65 years old; The applicant has a disability or impairment,
syn-001,Synthetic User 001,Recently unemployed renter,unemployed_renter,housing-improvement-program,Housing improvement program,housing,federal,federal,possibly_eligible,72,The applicant has limited income and resources,,Are you an American Indian or Alaska Native?
syn-001,Synthetic User 001,Recently unemployed renter,unemployed_renter,housing-choice-voucher-section-8,Housing choice voucher (Section 8),housing,federal,federal,possibly_eligible,72,The applicant has limited income and resources,,Are you a U.S. citizen or an eligible non-citizen?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,covid-19-funeral-assistance,COVID-19 funeral assistance,survivor,federal,federal,possibly_eligible,79,"The deceased died in the U.S.; The deceased died after May 20th, 2020",The deceased's death was COVID-19 related,Are you a U.S. citizen or an eligible non-citizen?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,retirement-benefits-for-child,Retirement benefits for child,retirement,federal,federal,possibly_eligible,62,,The applicant is under 18 years,Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you the child or spouse of a person who is receiving retirement or disability benefits?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,combat-related-special-compensation-crsc,Combat-Related Special Compensation (CRSC),retirement,federal,federal,possibly_eligible,80,,The applicant has a disability or impairment; The applicant served in the active military; The applicant’s disability was caused or made worse by their active-duty military service,What is the status of your military service?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,ticket-to-work-program,Ticket to Work Program,disability,federal,federal,possibly_eligible,79,The applicant is unable to work for a year or more because of a disability,The applicant is between 18-64 years; The applicant has a disability or impairment,Are you a U.S. citizen or an eligible non-citizen?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,social-security-disability-insurance-for-child-with-disabilities,Social Security disability insurance for child with disabilities,disability,federal,federal,possibly_eligible,70,,The applicant is at least 18 years; The applicant has a disability or impairment; The applicant is unable to work for a year or more because of a disability,Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you the child or spouse of a person who is receiving retirement or disability benefits?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,social-security-disability-insurance,Social Security Disability Insurance,disability,federal,federal,possibly_eligible,80,You worked and paid Social Security taxes on your earnings,The applicant has a disability or impairment; The applicant is unable to work for a year or more because of a disability,Are you a U.S. citizen or an eligible non-citizen?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,thrift-savings-plan-tsp,Thrift Savings Plan (TSP),retirement,federal,federal,possibly_eligible,79,The applicant worked and paid Social Security taxes,The applicant is over 60 years; The applicant served in the active military,Are you a U.S. citizen or an eligible non-citizen?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,retirement-benefits-for-parents,Retirement benefits for parents,retirement,federal,federal,possibly_eligible,54,,,"Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you caring for the child of someone who is retired, has a disability, or has died?"
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,medicare-savings-programs-msp,Medicare Savings Programs (MSP),health,federal,federal,likely_ineligible,88,,The applicant is at least 65 years; The applicant has a disability or impairment; The applicant has limited income and resources,
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,retirement-benefits,Retirement benefits,retirement,federal,federal,possibly_eligible,76,The applicant worked and paid Social Security taxes,The applicant is at least 62 years,Are you a U.S. citizen or an eligible non-citizen?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,coal-miner-worker-s-compensation,Coal miner worker's compensation,survivor,federal,federal,possibly_eligible,78,,The applicant has a disability or impairment; The applicant is unable to work for a year or more because of a disability,applicant_miner
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,coal-miner-worker-s-compensation-for-surviving-spouse,Coal miner worker's compensation for surviving spouse,survivor,federal,federal,possibly_eligible,54,,,deceased_miner; Applicant's relationship to the deceased
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,veterans-burial-allowance,Veterans burial allowance,survivor,federal,federal,possibly_eligible,59,,The deceased died within the last two years,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; If the deceased served in the miltiary, which military option best applies to their death?; Applicant's relationship to the deceased"
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,survivors-pension-for-spouse,Survivors pension for spouse,survivor,federal,federal,possibly_eligible,54,,,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; Your marital status; Applicant's relationship to the deceased"
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,survivors-pension-for-child-with-disabilities,Survivors pension for child with disabilities,survivor,federal,federal,possibly_eligible,60,,The applicant is under 18 years,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; Your marital status; Applicant's relationship to the deceased"
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,life-insurance-for-survivors-of-veterans,Life insurance for survivors of veterans,survivor,federal,federal,possibly_eligible,54,,,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; Applicant's relationship to the deceased"
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,lump-sum-death-benefit,Lump-sum death benefit,survivor,federal,federal,possibly_eligible,62,,The deceased died within the last two years,Did the deceased ever work and pay U.S. Social Security taxes?; Are you a U.S. citizen or an eligible non-citizen?; Applicant's relationship to the deceased
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,financial-assistance-and-social-services-fass-burial-assistance,Financial Assistance and Social Services (FASS) - Burial assistance,survivor,federal,federal,possibly_eligible,54,,,Was the deceased an American Indian or Alaska Native?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,survivors-benefits-for-parents-caring-for-a-child,Survivors benefits for parents caring for a child,survivor,federal,federal,possibly_eligible,54,,,"Did the deceased ever work and pay U.S. Social Security taxes?; Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you caring for the child of someone who is retired, has a disability, or has died?"
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,education-benefits-gi-bill-for-survivors,Education benefits (GI Bill) for survivors,survivor,federal,federal,possibly_eligible,54,,,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; If the deceased served in the miltiary, which military option best applies to their death?; Applicant's relationship to the deceased"
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,survivors-benefits-for-child-with-disabilities,Survivors benefits for child with disabilities,survivor,federal,federal,possibly_eligible,60,,The applicant is under 18 years,Did the deceased ever work and pay U.S. Social Security taxes?; Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Applicant's relationship to the deceased
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,survivors-benefits-for-spouse-with-disabilities,Survivors benefits for spouse with disabilities,survivor,federal,federal,possibly_eligible,60,,The applicant is at least 50 years,Did the deceased ever work and pay U.S. Social Security taxes?; Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Applicant's relationship to the deceased
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,public-safety-officers-death-benefits,Public safety officers' death benefits,survivor,federal,federal,possibly_eligible,54,,,deceased_public_safety_officer; Applicant's relationship to the deceased
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,home-loan-program-for-survivors,Home loan program for survivors,survivor,federal,federal,possibly_eligible,54,,,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; If the deceased served in the miltiary, which military option best applies to their death?; Your marital status"
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,survivors-benefits-for-child,Survivors benefits for child,survivor,federal,federal,possibly_eligible,60,,The applicant is under 18 years,Did the deceased ever work and pay U.S. Social Security taxes?; Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Applicant's relationship to the deceased
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,survivor-benefit-plan,Survivor benefit plan,retirement,federal,federal,possibly_eligible,54,,,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; If the deceased served in the miltiary, which military option best applies to their death?; Applicant's relationship to the deceased"
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,tax-advantaged-retirement-plans-information,Tax-advantaged retirement plans information,retirement,federal,federal,likely_ineligible,88,,The applicant is at least 62 years,
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,tax-relief-programs-for-people-with-disabilities,Tax relief programs for people with disabilities,health,federal,federal,likely_ineligible,89,,The applicant has a disability or impairment,
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,social-security-disability-insurance-for-child,Social Security disability insurance for child,disability,federal,federal,possibly_eligible,62,,The applicant is under 18 years,Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you the child or spouse of a person who is receiving retirement or disability benefits?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,social-security-disability-insurance-for-parents,Social Security disability insurance for parents,disability,federal,federal,possibly_eligible,54,,,"Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you caring for the child of someone who is retired, has a disability, or has died?"
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,social-security-disability-insurance-for-spouse,Social Security disability insurance for spouse,disability,federal,federal,possibly_eligible,62,,The applicant is at least 62 years,Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you the child or spouse of a person who is receiving retirement or disability benefits?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,retirement-benefits-for-spouse,Retirement benefits for spouse,retirement,federal,federal,possibly_eligible,62,,The applicant is at least 62 years,Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you the child or spouse of a person who is receiving retirement or disability benefits?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,retirement-benefits-for-child-with-disabilities,Retirement benefits for child with disabilities,retirement,federal,federal,possibly_eligible,70,,The applicant is under 18 years; The applicant has a disability or impairment; The applicant is unable to work for a year or more because of a disability,Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you the child or spouse of a person who is receiving retirement or disability benefits?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,medicare-with-retirement,Medicare with retirement,retirement,federal,federal,possibly_eligible,70,,The applicant is at least 65 years old,Are you a U.S. citizen or an eligible non-citizen?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,concurrent-retirement-and-disability-payments-crdp,Concurrent Retirement and Disability Payments (CRDP),retirement,federal,federal,possibly_eligible,70,,The applicant’s date of birth is 60 years or older; The applicant has a disability or impairment,Did the deceased actively serve in the U.S. military?; What is the status of your military service?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,death-gratuity,Death gratuity,survivor,federal,federal,possibly_eligible,54,,,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; If the deceased served in the miltiary, which military option best applies to their death?; Applicant's relationship to the deceased"
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,extra-help-with-medicare-prescription-drug-plan-part-d-costs,Extra help with Medicare prescription drug plan (Part D) costs,health,federal,federal,likely_ineligible,88,,The applicant is at least 65 years old; The applicant has a disability or impairment; The applicant has limited income and resources,
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,housing-improvement-program,Housing improvement program,housing,federal,federal,possibly_eligible,72,,The applicant has limited income and resources,Are you an American Indian or Alaska Native?
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,survivors-pension-for-child,Survivors pension for child,survivor,federal,federal,possibly_eligible,60,,The applicant is under 18 years,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; Your marital status; Applicant's relationship to the deceased"
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,survivors-benefits-for-parents,Survivors benefits for parents,survivor,federal,federal,possibly_eligible,62,,The applicant is at least 62 years,Did the deceased ever work and pay U.S. Social Security taxes?; Are you a U.S. citizen or an eligible non-citizen?; Applicant's relationship to the deceased
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,survivors-benefits-for-spouse,Survivors benefits for spouse,survivor,federal,federal,possibly_eligible,60,,The applicant is at least 60 years,Did the deceased ever work and pay U.S. Social Security taxes?; Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Applicant's relationship to the deceased
syn-002,Synthetic User 002,Survivor handling funeral costs,survivor_funeral,housing-choice-voucher-section-8,Housing choice voucher (Section 8),housing,federal,federal,possibly_eligible,72,,The applicant has limited income and resources,Are you a U.S. citizen or an eligible non-citizen?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,supplemental-security-income-ssi,Supplemental Security Income (SSI),disability,federal,federal,possibly_eligible,80,The applicant has limited income and resources,The applicant has a disability or impairment; The applicant is unable to work for a year or more because of a disability,Are you a U.S. citizen or an eligible non-citizen?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,covid-19-funeral-assistance,COVID-19 funeral assistance,survivor,federal,federal,possibly_eligible,53,,,Was the death of the deceased COVID-19 related?; Did the death happen in the U.S.?; Deceased's date of death; Are you a U.S. citizen or an eligible non-citizen?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,state-social-services-tx,Texas state social services,general,state,TX,likely_eligible,75,This is the official Texas state entry point for benefits.,,
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,retirement-benefits-for-child,Retirement benefits for child,retirement,federal,federal,possibly_eligible,62,,The applicant is under 18 years,Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you the child or spouse of a person who is receiving retirement or disability benefits?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,supplemental-security-income-ssi-for-child,Supplemental Security Income (SSI) for Child,disability,federal,federal,possibly_eligible,81,The applicant has limited income and resources,The applicant is under 18 years; The applicant has a disability or impairment; The applicant is unable to work for a year or more because of a disability,Are you a U.S. citizen or an eligible non-citizen?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,veteran-s-pension-with-disability,Veteran's pension with disability,disability,federal,federal,possibly_eligible,81,The applicant has limited income and resources,The applicant is at least 65 years; The applicant has a disability or impairment; The applicant served in the active military,What is the status of your military service?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,veteran-readiness-and-employment-vr-e,Veteran readiness and employment (VR&E),disability,federal,federal,possibly_eligible,80,,The applicant has a disability or impairment; The applicant served in the active military; The applicant’s disability was caused or made worse by their active-duty military service,What is the status of your military service?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,social-security-disability-insurance-for-child-with-disabilities,Social Security disability insurance for child with disabilities,disability,federal,federal,possibly_eligible,70,,The applicant is at least 18 years; The applicant has a disability or impairment; The applicant is unable to work for a year or more because of a disability,Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you the child or spouse of a person who is receiving retirement or disability benefits?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,social-security-disability-insurance,Social Security Disability Insurance,disability,federal,federal,possibly_eligible,80,You worked and paid Social Security taxes on your earnings,The applicant has a disability or impairment; The applicant is unable to work for a year or more because of a disability,Are you a U.S. citizen or an eligible non-citizen?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,financial-assistance-and-social-services-fass,Financial Assistance and Social Services (FASS),cash,federal,federal,possibly_eligible,72,The applicant has limited income and resources,,Are you an American Indian or Alaska Native?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,retirement-benefits-for-parents,Retirement benefits for parents,retirement,federal,federal,possibly_eligible,54,,,"Your marital status; Are you a U.S. citizen or an eligible non-citizen?; Are you caring for the child of someone who is retired, has a disability, or has died?"
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,medicare-savings-programs-msp,Medicare Savings Programs (MSP),health,federal,federal,possibly_eligible,88,The applicant has limited income and resources,The applicant is at least 65 years; The applicant has a disability or impairment,
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,veteran-s-pension,Veteran's pension,disability,federal,federal,possibly_eligible,79,The applicant has limited income and resources,The applicant is at least 65 years; The applicant served in the active military,What is the status of your military service?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,supplemental-security-income-ssi-for-adults,Supplemental Security Income (SSI) for adults,disability,federal,federal,possibly_eligible,76,The applicant has limited income and resources,The applicant is at least 65 years,Are you a U.S. citizen or an eligible non-citizen?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,retirement-benefits,Retirement benefits,retirement,federal,federal,possibly_eligible,76,The applicant worked and paid Social Security taxes,The applicant is at least 62 years,Are you a U.S. citizen or an eligible non-citizen?
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,veterans-burial-allowance,Veterans burial allowance,survivor,federal,federal,possibly_eligible,53,,,"Deceased's date of death; Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; If the deceased served in the miltiary, which military option best applies to their death?"
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,survivors-pension-for-spouse,Survivors pension for spouse,survivor,federal,federal,possibly_eligible,54,,,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; Your marital status; Applicant's relationship to the deceased"
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,survivors-pension-for-child-with-disabilities,Survivors pension for child with disabilities,survivor,federal,federal,possibly_eligible,60,,The applicant is under 18 years,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; Your marital status; Applicant's relationship to the deceased"
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,dependency-and-indemnity-compensation-dic,Dependency and Indemnity Compensation (DIC),veteran,federal,federal,possibly_eligible,54,,,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; If the deceased served in the miltiary, which military option best applies to their death?; Applicant's relationship to the deceased"
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,burial-benefits,Burial benefits,cash,federal,federal,possibly_eligible,54,,,"Did the deceased actively serve in the U.S. military?; If the deceased served in the military, what was their service status?; If the deceased served in the miltiary, which military option best applies to their death?; Applicant's relationship to the deceased"
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,lump-sum-death-benefit,Lump-sum death benefit,survivor,federal,federal,possibly_eligible,53,,,Did the deceased ever work and pay U.S. Social Security taxes?; Deceased's date of death; Are you a U.S. citizen or an eligible non-citizen?; Applicant's relationship to the deceased
syn-003,Synthetic User 003,Recently unemployed renter,unemployed_renter,additional-disability-benefits-for-veterans,Additional disability benefits for veterans,disability,federal,federal,possibly_eligible,80,,The applicant has a disability or impairment; The applicant served in the active military; The applicant’s disability was caused or made worse by their active-duty military service,What is the status of your military service?
